word,count,independent,bind,len,compound_entropy,spe,rsr
冠军,18,13,0.2857,2,2.6464,0.971,84.4
千年,18,6,0.25,2,2.7255,0.9183,44.6667
变强,18,4,0.5,2,2.9197,0.0,25.1429
可以,18,6,0.4444,2,2.8366,1.5751,133.4762
在诸天,18,4,0.3333,3,2.6987,1.0,115.375
少女,18,7,0.3,2,2.5949,0.971,70.2
忍界,18,14,0.375,2,2.5221,1.5567,56.4286
悠闲,18,5,0.6923,2,1.5059,1.4021,69.7647
我一,18,8,0.5556,2,0.9864,0.0,29.0
我为,18,15,0.1667,2,2.9183,0.0,13.0
我有一个,18,11,0.1765,4,3.6835,0.0,31.0
攻略,18,16,0.3333,2,4.3685,0.0,3.0
柯南,18,7,0.5833,2,2.0218,0.5917,88.0
次元,18,4,0.6667,2,1.6923,0.8113,1.5
正常,18,3,0.2857,2,2.7534,1.544,53.1364
百年,18,8,0.2941,2,2.5219,0.0,11.6
万物,17,15,0.2857,2,2.75,0.0,1.0
不对劲,17,13,0.6667,3,1.4591,1.0,6.0
之最,17,1,0.8824,2,0.6402,1.3381,12.8214
你们,17,9,0.25,2,2.4817,0.994,86.0
你管这叫,17,15,0.1176,4,3.9698,0.0,4.0
入侵,17,8,0.2222,2,2.7774,0.9911,3.0
全民,17,9,1.0,2,3.6819,0.7642,35.3333
大宋,17,11,0.6667,2,3.9321,0.9183,98.0
大道,17,12,0.25,2,2.9477,0.9183,47.6667
天才,17,15,0.2222,2,3.1219,0.0,29.0
工业,17,6,0.1818,2,3.0958,0.8631,50.2857
带着,17,11,0.5,2,1.9219,0.8113,5.75
日记,17,7,0.25,2,1.88,0.0,51.4
正经,17,6,0.4118,2,2.6962,0.0,41.3636
生不,17,4,0.7059,2,1.5569,1.2638,6.3929
的我只,17,1,0.3529,3,1.9831,1.1982,12.1154
纪元,17,12,1.0,2,0.7219,0.0,12.4
美食,17,15,0.1333,2,3.0,0.0,16.0
能力,17,7,0.5294,2,2.4093,1.1307,7.069
荒野,17,6,0.375,2,2.6416,0.9612,54.3077
诡秘,17,17,1.0,2,2.3244,-1.0,-1.0
重回,17,15,0.5,2,3.1084,0.0,6.0
之旅,16,7,0.1875,2,3.3278,0.0,18.8182
今天,16,6,0.3636,2,2.7322,1.4566,64.3333
修炼,16,12,0.2143,2,3.4677,0.971,154.6
全是,16,8,0.2308,2,3.2806,1.4316,29.2857
同时穿越,16,10,1.0,4,1.5694,0.9911,98.1111
天庭,16,14,0.1667,2,3.4183,0.0,40.0
娘子,16,10,0.5,2,2.2925,0.0,13.4545
影视世界,16,10,0.6667,4,3.7345,0.9183,90.6667
悟性,16,5,0.7,2,1.823,0.9457,13.5455
情报,16,3,0.3333,2,2.7069,1.544,65.6364
我真是,16,12,0.1333,3,3.75,0.0,43.0
战争,16,6,0.2222,2,2.7322,1.5219,53.9
是天,16,5,0.1875,2,3.3278,0.971,38.2667
最后,16,2,0.5625,2,1.4913,0.4138,65.7917
来了,16,10,0.5,2,1.5,0.0,7.8889
来自,16,12,0.2,2,3.2516,1.0,123.0
气运,16,11,0.2143,2,3.4183,0.971,4.4
界之,16,2,0.375,2,2.0079,0.9665,11.1304
神明,16,12,0.1429,2,3.0,0.0,171.0
空之,16,1,0.75,2,1.0141,0.3712,7.6071
竟是,16,5,0.625,2,1.9238,0.9406,109.1458
获得,16,1,0.4667,2,1.6895,0.5436,85.625
词条,16,5,0.3,2,2.6106,0.9968,71.8
道长,16,5,0.4615,2,2.2892,0.7871,18.0
魔女,16,14,0.4,2,2.0588,0.0,1.0
为王,15,12,1.0,2,3.7028,0.0,245.0
之最强,15,7,0.2,3,3.3232,0.7642,30.4444
乐园,15,11,1.0,2,0.7219,0.0,3.0
从武,15,4,0.5,2,1.1488,0.0,7.4545
养成,15,11,0.2857,2,3.2359,0.0,16.0
北宋,15,8,0.4,2,1.9219,0.8113,43.25
只是,15,3,0.5385,2,1.9301,1.4777,106.913
只有,15,2,0.6667,2,1.5589,0.9406,117.6667
在斗罗,15,2,0.7143,3,1.3753,0.0,93.4615
在美,15,1,0.6154,2,1.5466,1.3992,42.7037
大亨,15,9,0.5,2,1.9183,0.9183,4.6667
大帝,15,12,0.375,2,2.6416,1.0,39.25
天之,15,2,0.5333,2,1.5329,0.5665,5.6
天后,15,10,0.2308,2,3.3347,0.971,58.6
娱之,15,1,0.6667,2,1.3753,0.7871,32.6471
归来的,15,5,0.4,3,2.5559,0.684,2.0909
怎么办,15,5,0.4,3,2.6062,0.0,90.6
我就,15,2,0.8667,2,0.6998,0.0,97.0
我真没想,15,7,0.5333,4,1.371,0.0,52.0
斗破,15,9,0.6667,2,1.875,0.0,92.3333
无双,15,11,1.0,2,3.6402,0.0,3.0
曝光,15,7,0.7,2,1.7807,1.4316,47.8571
满级,15,10,0.3,2,3.0272,0.971,11.2
的人,15,2,0.7857,2,0.9464,0.8631,48.8571
神之,15,4,0.2667,2,2.9232,1.3663,68.5
空间,15,8,0.3846,2,2.6535,0.0,22.0909
老婆是,15,1,0.5333,3,1.2729,0.9864,144.7222
英雄联盟,15,6,1.0,4,1.4716,0.0,138.0
说我,15,4,0.3333,2,2.8226,1.2997,38.4444
骑士,15,6,0.2857,2,2.75,0.7219,121.2
高手,15,4,0.5,2,1.8366,1.3996,27.3333
世界开,14,3,0.7143,3,1.4345,0.5917,17.8571
主宰,14,10,1.0,2,3.6402,0.0,1.0
人类,14,6,0.25,2,2.9477,0.8113,87.0
修真,14,9,0.5,2,1.5,0.971,20.6
叫我,14,5,0.3077,2,2.7534,0.0,4.8889
合成,14,6,0.3333,2,2.9183,1.0,16.25
国之,14,5,0.6429,2,1.7695,0.0,12.0
在异界,14,6,0.3846,3,2.6535,0.7642,158.3333
大圣,14,10,0.3333,2,2.0,0.0,26.0
天命,14,10,0.2857,2,2.5216,0.8631,87.4286
