word,count,independent,bind,len,compound_entropy,cohesion
词条,16,5,0.3,2,2.6106,10.4172
道长,16,5,0.4615,2,2.2892,3.874
魔女,16,14,0.4,2,2.0588,4.0667
为王,15,12,1.0,2,3.7028,4.9663
之最强,15,7,0.2,3,3.3232,4.1885
乐园,15,11,1.0,2,0.7219,7.8649
从武,15,4,0.5,2,1.1488,2.1527
养成,15,11,0.2857,2,3.2359,5.1452
北宋,15,8,0.4,2,1.9219,8.3104
只是,15,3,0.5385,2,1.9301,3.8854
只有,15,2,0.6667,2,1.5589,4.6669
在斗罗,15,2,0.7143,3,1.3753,4.3271
在美,15,1,0.6154,2,1.5466,3.3498
大亨,15,9,0.5,2,1.9183,6.295
大帝,15,12,0.375,2,2.6416,2.5224
天后,15,10,0.2308,2,3.3347,3.0431
娱之,15,1,0.6667,2,1.3753,2.8446
归来的,15,5,0.4,3,2.5559,4.9766
怎么办,15,5,0.4,3,2.6062,9.8756
我就,15,2,0.8667,2,0.6998,2.2079
我真没想,15,7,0.5333,4,1.371,5.0692
斗破,15,9,0.6667,2,1.875,6.9934
无双,15,11,1.0,2,3.6402,7.1197
曝光,15,7,0.7,2,1.7807,9.4959
满级,15,10,0.3,2,3.0272,6.7554
空间,15,8,0.3846,2,2.6535,6.895
老婆是,15,1,0.5333,3,1.2729,5.6819
英雄联盟,15,6,1.0,4,1.4716,9.332
说我,15,4,0.3333,2,2.8226,2.3912
骑士,15,6,0.2857,2,2.75,8.7783
高手,15,4,0.5,2,1.8366,6.125
世界开,14,3,0.7143,3,1.4345,1.7473
主宰,14,10,1.0,2,3.6402,7.6587
人类,14,6,0.25,2,2.9477,6.0678
修真,14,9,0.5,2,1.5,3.8584
叫我,14,5,0.3077,2,2.7534,3.0186
合成,14,6,0.3333,2,2.9183,4.91
国之,14,5,0.6429,2,1.7695,2.0292
在异界,14,6,0.3846,3,2.6535,5.4202
大圣,14,10,0.3333,2,2.0,3.125
天命,14,10,0.2857,2,2.5216,4.2084
天王,14,9,0.3333,2,3.5778,2.4931
奶爸,14,9,0.5,2,1.7925,11.1612
家族,14,9,0.3,2,2.8464,5.2092
恶魔,14,8,0.2222,2,2.9477,6.3278
我在东京,14,5,0.5,4,2.2608,4.5547
我才,14,2,0.5,2,1.0613,2.4336
手册,14,12,0.1429,2,3.6645,8.6105
木叶之,14,12,1.0,3,3.7736,4.1114
模板,14,10,0.6667,2,3.7345,7.9372
求生,14,11,0.2,2,3.1808,4.5112
海贼之,14,14,1.0,3,3.9069,4.2287
现实,14,5,0.5833,2,1.7807,8.3799
生涯,14,10,0.1429,2,3.5216,6.0385
的黑,14,5,0.5,2,2.4037,3.078
离婚,14,5,0.5385,2,2.0349,10.0915
篮球,14,10,0.3636,2,2.75,8.1278
让我,14,8,0.2222,2,2.8352,2.3688
训练,14,1,0.7143,2,1.0949,9.5926
诸天从,14,12,0.25,3,2.0,2.7268
超能,14,5,0.6667,2,1.4466,4.1405
过去,14,3,0.4286,2,2.217,8.2543
逆天,14,4,0.5385,2,2.0349,4.4931
选手,14,4,0.3077,2,2.5654,7.2694
那些,14,1,0.7857,2,0.9464,10.0844
都重生了,14,5,1.0,4,1.4299,6.7993
锦衣,14,7,0.5385,2,2.1888,9.4794
霍格沃茨的,14,12,0.3333,5,3.9698,3.9664
魔王,14,7,0.5833,2,1.9473,4.07
黄金,14,9,0.2143,2,2.8074,8.044
不想当,13,6,0.3333,3,2.5221,5.8479
之我是,13,6,0.3846,3,2.8074,3.6825
仙子,13,9,0.3333,2,2.25,2.7666
们的,13,5,0.2308,2,2.8151,3.2441
修仙界,13,5,0.7273,3,1.2776,3.7216
分身,13,8,0.4545,2,2.6175,7.5952
卧底,13,11,0.25,2,2.0,11.51
历史,13,11,0.2,2,2.9477,9.6031
变成,13,8,0.2727,2,2.8454,4.7847
基因,13,13,0.1429,2,2.8074,10.5074
外挂,13,6,0.3,2,2.6635,9.1819
天师,13,11,0.1667,2,3.1219,1.7413
天道,13,8,0.4167,2,2.3219,1.8776
妖魔,13,7,0.3333,2,2.8454,4.8496
始皇,13,6,0.5556,2,1.88,3.3212
宗师,13,10,0.5,2,3.5899,5.5691
开始当,13,9,0.1538,3,3.5466,2.3095
忍者,13,7,0.3636,2,2.7774,7.1917
怪谈,13,8,0.4286,2,2.371,9.077
我可,13,1,1.0,2,1.7736,2.7253
我和,13,13,0.0833,2,3.7004,3.3773
我就是,13,13,0.0769,3,3.7004,3.8155
文艺,13,3,0.75,2,1.0613,7.125
斗罗之,13,8,0.3846,3,2.8074,3.4195
武魂,13,7,0.375,2,2.3554,5.9445
深渊,13,9,0.2857,2,2.75,9.925
火影之,13,11,1.0,3,3.6645,3.6646
的小,13,9,0.1538,2,3.5466,2.3055
的超,13,1,0.5385,2,2.1888,1.6726
相亲,13,7,0.3333,2,2.4131,10.0694
神探,13,11,0.25,2,2.2516,5.2186
神秘,13,6,0.3846,2,2.585,4.8467
绝对,13,11,0.25,2,2.0,7.619
谁让,13,1,1.0,2,1.6738,7.3241
这个明星,13,11,0.1538,4,3.5466,6.7454
金手,13,2,0.8182,2,0.684,5.7957
魔人,13,1,0.6923,2,1.1401,2.314
黑暗,13,11,0.3333,2,2.5216,8.5525
万古,12,8,0.2857,2,2.6464,5.7651
万年,12,10,0.5,2,1.0613,4.304
三十,12,3,0.3636,2,2.3554,5.9374
不会,12,5,0.3636,2,2.7255,5.065
不正,12,1,0.5833,2,1.2807,4.6104
世家,12,7,0.2727,2,2.3219,2.4873
两界,12,7,0.2857,2,2.2359,6.3534
之开局,12,8,0.1667,3,3.2516,2.2095
什么叫,12,10,1.0,3,0.8113,7.2735
凶猛,12,12,0.5,2,3.7004,10.1839
到大,12,10,0.1667,2,3.4183,2.125
副本,12,10,0.2,2,2.281,9.2075
在修仙,12,1,0.7273,3,0.8454,3.4505
大汉,12,10,0.2222,2,2.5216,4.3881
岁月,12,12,0.25,2,2.2516,8.6814
师兄,12,3,0.7,2,1.4911,6.7756
幕后,12,4,0.4167,2,2.2213,8.1929
我怎么,12,3,0.4286,3,2.4056,2.7715
我没,12,3,0.6,2,1.8424,2.0996
捡到,12,2,0.5,2,2.2925,6.9109
文明,12,8,0.2222,2,2.9219,4.2611
无上,12,8,0.1667,2,2.585,3.9987
横推,12,5,0.5,2,1.5,10.0319
江山,12,9,0.75,2,0.8113,7.3426
猎魔,12,3,0.8182,2,0.8659,5.6066
秦时,12,5,0.7143,2,1.5,6.4153
继承,12,8,0.25,2,2.7219,11.1575
聊斋,12,8,0.2857,2,2.5216,10.295
至尊,12,12,0.1667,2,2.585,9.3241
警察,12,9,0.375,2,2.6464,9.9388
赛博,12,5,0.4545,2,2.2516,11.044
转生,12,12,0.1667,2,2.5219,5.1487
重启,12,9,0.3333,2,2.0,6.0888
三千,11,6,0.2727,2,2.8454,6.1922
上单,11,7,0.5,2,2.1133,7.0484
不能,11,11,0.1,2,3.3219,2.8302
不要,11,6,0.3,2,2.6464,4.3906
世界大,11,4,0.1818,3,2.914,1.7155
中的,11,8,0.2727,2,3.0272,2.9063
之后,11,11,0.0909,2,3.4594,2.4325
从火影开始,11,6,0.2727,5,2.8454,6.2682
你不,11,7,0.25,2,2.3219,2.6069
你这,11,8,1.0,2,0.971,3.3164
凡人,11,9,0.2857,2,2.3219,4.3828
刷新,11,5,0.3636,2,1.585,8.7835
加入,11,1,0.8182,2,0.8659,7.0584
华娱从,11,11,0.1111,3,3.2776,3.4057
名门,11,7,1.0,2,2.9219,6.3954
吞噬星空之,11,9,0.1818,5,3.2776,5.4415
大学,11,5,0.2222,2,2.9219,2.469
女主,11,9,0.2222,2,2.9477,3.421
女儿,11,2,0.4545,2,2.3685,6.173
子开始,11,9,0.3333,3,1.585,1.9792
开发,11,7,0.25,2,2.75,3.7103
开局一,11,4,1.0,3,0.8631,2.9276
开挂,11,7,0.2857,2,2.2359,4.2288
怪物,11,9,0.2857,2,2.5216,7.0287
恐怖,11,6,0.4286,2,2.1281,12.0319
我们,11,8,0.5,2,1.371,2.3587
我自己,11,2,0.8182,3,0.8659,4.0692
抗战,11,9,0.5,2,2.1258,8.0763
拜师,11,3,0.5,2,1.4056,6.5797
拯救,11,5,0.4,2,2.7322,10.6169
救世主,11,7,0.6667,3,1.5,7.0763
日本,11,1,0.5,2,1.761,5.7857
术士,11,8,0.75,2,1.371,6.8669
机械,11,6,0.2727,2,2.9477,9.5685
枭雄,11,7,0.5,2,1.585,9.8152
武神,11,11,0.2,2,2.585,2.0427
混在,11,7,0.1818,2,3.0958,5.3353
熟练度,11,7,0.4,3,2.2359,10.447
现代,11,6,0.3333,2,2.6416,6.1129
生存,11,6,0.5556,2,2.161,5.778
男人,11,2,0.5,2,1.361,4.2674
疯狂,11,9,0.25,2,2.3219,9.1338
的人生,11,4,0.5,3,2.0,2.6653
盛世,11,11,1.0,2,3.585,5.806
直播之,11,5,0.4,3,1.5219,4.1487
知道,11,3,0.5,2,2.2222,5.8228
祖宗,11,7,0.5,2,1.7925,8.0265
精神,11,3,0.7273,2,1.2776,4.3372
纵横,11,6,0.5,2,2.0,10.3214
美人,11,4,0.5714,2,1.3788,2.4056
肝成,11,5,0.3333,2,2.3219,5.8933
自由,11,4,0.5556,2,1.961,9.3703
融合,11,6,0.2857,2,2.6464,9.1129
西游之,11,9,1.0,3,3.4183,4.2089
设计,11,2,0.5556,2,2.0404,10.758
足球,11,9,1.0,2,2.0349,8.5575
那些年,11,5,0.5455,3,2.0495,7.863
重生之我,11,6,0.4545,4,2.404,1.9437
鉴宝,11,5,0.75,2,1.0613,9.0102
钢铁,11,6,0.3,2,2.75,10.5403
